imagen,nombre,precio_soles,precio_dolares,link,stock
https://cyccomputer.pe/45556-home_default/ssd-256gb-boetec-sata-60gbs-25-pnboe256gb.jpg,"SSD 256GB BOETEC SATA 6.0Gb/s 2.5"" (PN:BOE256GB)",83.85,21.5,https://cyccomputer.pe/ssd-25-sata/22178-ssd-256gb-boetec-sata-60gbs-25-pnboe256gb.html,10
https://cyccomputer.pe/40625-home_default/ssd-250gb-hp-ex900-m2-2280-nvme-pcie.jpg,SSD 250GB HP EX900 M.2 2280 NVMe PCIe,95.55,24.5,https://cyccomputer.pe/ssd-m2-2280-pcie/21174-ssd-250gb-hp-ex900-m2-2280-nvme-pcie.html,10
https://cyccomputer.pe/44186-home_default/ssd-240gb-hp-s650-sata-iii-6gbs-25-pn345m8aa-abb.jpg,"SSD 240GB HP S650 SATA III 6GB/s 2.5"" (PN:345M8AA ABB)",115.05,29.5,https://cyccomputer.pe/ssd-25-sata/21634-ssd-240gb-hp-s650-sata-iii-6gbs-25-pn345m8aa-abb.html,1
https://cyccomputer.pe/46107-home_default/ssd-250gb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s250g.jpg,SSD 250GB KINGSTON NV2 M.2 2280 NVMe PCIe GEN4 (PN:SNV2S/250G),117.0,30.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22382-ssd-250gb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s250g.html,7
https://cyccomputer.pe/30553-home_default/ssd-120gb-teamgroup-gx1-sata3-25-pnt253x1120g0c101.jpg,"SSD 120GB TEAMGROUP GX1 SATA3 2.5"" (PN:T253X1120G0C101)",120.9,31.0,https://cyccomputer.pe/ssd-25-sata/15137-ssd-120gb-teamgroup-gx1-sata3-25-pnt253x1120g0c101.html,1
https://cyccomputer.pe/45557-home_default/ssd-512gb-boetec-sata-60gbs-25-pnboe512gb.jpg,"SSD 512GB BOETEC SATA 6.0Gb/s 2.5"" (PN:BOE512GB)",136.5,35.0,https://cyccomputer.pe/ssd-25-sata/22187-ssd-512gb-boetec-sata-60gbs-25-pnboe512gb.html,10
https://cyccomputer.pe/43029-home_default/ssd-480gb-wd-green-sn350-m2-2280-nvme-pcie-pnwds480g2g0c-00ajm0.jpg,SSD 480GB WD GREEN SN350 M.2 2280 NVMe PCIe (PN:WDS480G2G0C-00AJM0),142.35,36.5,https://cyccomputer.pe/ssd-m2-2280-pcie/19938-ssd-480gb-wd-green-sn350-m2-2280-nvme-pcie-pnwds480g2g0c-00ajm0.html,10
https://cyccomputer.pe/32639-home_default/ssd-500gb-hp-ex900-m2-2280-nvme-pcie.jpg,SSD 500GB HP EX900 M.2 2280 NVMe PCIe,144.3,37.0,https://cyccomputer.pe/ssd-m2-2280-pcie/14404-ssd-500gb-hp-ex900-m2-2280-nvme-pcie.html,4
https://cyccomputer.pe/44828-home_default/ssd-480gb-western-digital-green-go-sata-6gbs-25-pnwds480g3g0a.jpg,"SSD 480GB WESTERN DIGITAL GREEN GO SATA 6GB/s 2.5"" (PN:WDS480G3G0A)",152.1,39.0,https://cyccomputer.pe/ssd-25-sata/22048-ssd-480gb-western-digital-green-go-sata-6gbs-25-pnwds480g3g0a.html,1
https://cyccomputer.pe/40665-home_default/ssd-500gb-kingston-nv1-m2-2280-nvme-pcie-pnsnvs500g.jpg,SSD 500GB KINGSTON NV1 M.2 2280 NVMe PCIe (PN:SNVS/500G),161.85,41.5,https://cyccomputer.pe/ssd-m2-2280-pcie/21225-ssd-500gb-kingston-nv1-m2-2280-nvme-pcie-pnsnvs500g.html,1
