imagen,nombre,precio_dolares,precio_soles,link,stock
https://www.sercoplus.com/24767-home_default/mouse-xtech-xtm-195-usb.jpg,MOUSE XTECH XTM-195 USB,3.0,11.64,https://www.sercoplus.com/mouse-usb/6495-mouse-xtech-xtm-195-usb.html,20
https://www.sercoplus.com/30196-home_default/mouse-pad-teros-te5152n.jpg,MOUSE PAD TEROS TE5152N,4.0,15.52,https://www.sercoplus.com/pad-mouse/13709-mouse-pad-teros-te5152n.html,2
https://www.sercoplus.com/20727-home_default/mouse-logitech-m90-usb-ng.jpg,MOUSE LOGITECH M90 1000 DPI USB NEGRO,5.0,19.4,https://www.sercoplus.com/mouse-usb/4056-mouse-logitech-m90-usb-ng.html,9
https://www.sercoplus.com/15359-home_default/mouse-logitech-m110-optico-usb-black-910-005493.jpg,MOUSE LOGITECH M110 OPTICO USB BLACK,6.0,23.28,https://www.sercoplus.com/mouse-usb/10917-mouse-logitech-m110-optico-usb-black-910-005493.html,20
https://www.sercoplus.com/16589-home_default/mouse-inalambrico-xtech-xtm-310gn-2-4-gh.jpg,MOUSE INALAMBRICO XTECH XTM-310GN 2.4 GHZ VERDE.,6.5,25.22,https://www.sercoplus.com/mouse-inalambrico/11260-mouse-inalambrico-xtech-xtm-310gn-2-4-gh.html,20
https://www.sercoplus.com/30365-home_default/pad-mouse-logitech-anti-salpicadura-ros.jpg,"PAD MOUSE LOGITECH ANTI SALPICADURA, ROSE",7.4,28.71,https://www.sercoplus.com/pad-mouse/13569-pad-mouse-logitech-anti-salpicadura-ros.html,12
https://www.sercoplus.com/29427-home_default/pad-mouse-logitech-anti-salpicaduras-bl.jpg,"PAD MOUSE LOGITECH ANTI SALPICADURAS, BLUE, GREY",8.0,31.04,https://www.sercoplus.com/pad-mouse/13567-pad-mouse-logitech-anti-salpicaduras-bl.html,6
https://www.sercoplus.com/29428-home_default/pad-mouse-logitech-anti-salpicadiras-gr.jpg,"PAD MOUSE LOGITECH ANTI SALPICADIRAS, GRAPHITE.",8.0,31.04,https://www.sercoplus.com/pad-mouse/13568-pad-mouse-logitech-anti-salpicadiras-gr.html,11
https://www.sercoplus.com/30314-home_default/pad-mouse-halion-mp-14-35-x-15-x-3cm-r.jpg,"PAD MOUSE HALION MP-14, 35  x 25 x 3cm, RGB",8.9,34.53,https://www.sercoplus.com/pad-mouse/13735-pad-mouse-halion-mp-14-35-x-15-x-3cm-r.html,16
https://www.sercoplus.com/20676-home_default/mouse-logitech-m170-wireless-black.jpg,MOUSE LOGITECH M170 WIRELESS BLACK,9.0,34.92,https://www.sercoplus.com/mouse-inalambrico/7959-mouse-logitech-m170-wireless-black.html,20
https://www.sercoplus.com/20678-home_default/mouse-logitech-m170-wireless-blue.jpg,MOUSE LOGITECH M170 WIRELESS BLUE,9.0,34.92,https://www.sercoplus.com/mouse-inalambrico/7960-mouse-logitech-m170-wireless-blue.html,10
https://www.sercoplus.com/25441-home_default/mouse-logitech-m170-wireless-gray-910-005334.jpg,MOUSE LOGITECH M170 WIRELESS GRAY,9.0,34.92,https://www.sercoplus.com/mouse-inalambrico/10920-mouse-logitech-m170-wireless-gray-910-005334.html,10
https://www.sercoplus.com/20666-home_default/mouse-logitech-m105-usb-rojo.jpg,MOUSE LOGITECH M105 USB ROJO,9.0,34.92,https://www.sercoplus.com/mouse-usb/11195-mouse-logitech-m105-usb-rojo.html,4
https://www.sercoplus.com/20669-home_default/mouse-logitech-m105-usb-white.jpg,MOUSE LOGITECH M105 USB WHITE,9.0,34.92,https://www.sercoplus.com/mouse-usb/11196-mouse-logitech-m105-usb-white.html,16
